# mean min max
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.840763 3999.830000 4088.000000
3999.854435 3999.830000 4200.000000
3999.873987 3999.830000 4304.000000
3999.942429 3999.830000 4408.000000
4000.067595 3999.830000 4520.000000
4000.442283 3999.830000 4616.000000
4001.363242 3999.830000 4720.000000
4003.521753 3999.830000 4824.000000
4008.428889 3999.830000 4936.000000
4018.585396 3999.830000 5040.000000
4037.090610 3999.830000 5152.000000
4071.082267 3999.830000 5256.000000
4132.706133 3999.830000 5368.000000
4221.625510 3999.830000 5464.000000
4321.538453 3999.830000 5568.000000
4425.128646 3999.830000 5688.000000
4528.809833 4080.000000 5784.000000
4632.283483 4176.000000 5888.000000
4735.847317 4280.000000 6000.000000
4838.828242 4360.000000 6096.000000
4941.556401 4464.000000 6200.000000
5044.117925 4552.000000 6304.000000
5146.492745 4640.000000 6416.000000
5248.482003 4744.000000 6512.000000
5350.404072 4832.000000 6600.000000
5452.012251 4920.000000 6712.000000
5553.735132 5016.000000 6816.000000
5655.666761 5104.000000 6928.000000
5760.728605 5192.000000 7024.000000
5861.872660 5280.000000 7128.000000
5959.038057 5376.000000 7232.000000
6057.059674 5464.000000 7344.000000
6156.271560 5552.000000 7456.000000
6256.321445 5648.000000 7560.000000
6357.100114 5752.000000 7672.000000
6458.240802 5840.000000 7776.000000
6560.001860 5936.000000 7904.000000
6662.054735 6032.000000 7992.000000
6764.675485 6136.000000 8112.000000
6867.224436 6240.000000 8216.000000
6969.938699 6336.000000 8312.000000
7073.546594 6416.000000 8424.000000
7177.336068 6528.000000 8528.000000
7280.887694 6632.000000 8616.000000
7384.578151 6736.000000 8728.000000
7488.193134 6840.000000 8832.000000
7591.680350 6944.000000 8928.000000
7694.956403 7048.000000 9040.000000
7797.910999 7144.000000 9144.000000
7900.891536 7256.000000 9240.000000
8003.965282 7352.000000 9344.000000
8106.713557 7472.000000 9456.000000
8209.380500 7560.000000 9552.000000
8311.879775 7664.000000 9664.000000
8413.850579 7768.000000 9752.000000
8515.699905 7864.000000 9848.000000
8617.392452 7976.000000 9952.000000
