# mean min max
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.050000 4012.050000 4012.050000
4012.126123 4012.050000 4136.000000
4012.320422 4012.050000 4296.000000
4012.756763 4012.050000 4448.000000
4013.886316 4012.050000 4592.000000
4016.415723 4012.050000 4728.000000
4020.430298 4012.050000 4840.000000
4026.920898 4012.050000 4912.000000
4038.183545 4012.050000 5016.000000
4057.599573 4012.050000 5120.000000
4088.345234 4012.050000 5240.000000
4134.100188 4012.050000 5344.000000
4198.714419 4012.050000 5448.000000
4284.814089 4012.050000 5544.000000
4385.326431 4012.050000 5664.000000
4487.858762 4024.000000 5768.000000
4590.806179 4120.000000 5880.000000
4694.417578 4224.000000 5976.000000
4798.154763 4312.000000 6072.000000
4902.403296 4408.000000 6192.000000
5006.595647 4512.000000 6288.000000
5110.816907 4608.000000 6392.000000
5214.698293 4712.000000 6504.000000
5318.390430 4808.000000 6616.000000
5421.852742 4912.000000 6712.000000
5525.589687 5008.000000 6824.000000
5628.859314 5120.000000 6928.000000
5732.256025 5208.000000 7032.000000
5834.853669 5312.000000 7128.000000
5937.374116 5408.000000 7232.000000
6039.910349 5512.000000 7352.000000
6142.128232 5608.000000 7448.000000
6243.971301 5712.000000 7552.000000
6345.800295 5816.000000 7656.000000
6447.237795 5912.000000 7752.000000
6548.970234 6008.000000 7848.000000
6649.906311 6112.000000 7968.000000
6750.641155 6208.000000 8056.000000
6851.417969 6304.000000 8160.000000
6952.243174 6392.000000 8264.000000
7053.272471 6504.000000 8376.000000
7154.806179 6616.000000 8472.000000
7256.522976 6688.000000 8584.000000
7358.882812 6800.000000 8680.000000
7461.423357 6904.000000 8776.000000
7564.214619 7000.000000 8880.000000
7666.982668 7088.000000 8992.000000
7770.152344 7192.000000 9096.000000
7873.435098 7296.000000 9208.000000
7976.651895 7384.000000 9312.000000
8080.160156 7488.000000 9416.000000
8183.705078 7576.000000 9512.000000
8287.193359 7680.000000 9616.000000
8390.705078 7776.000000 9720.000000
8494.273438 7872.000000 9824.000000
8597.771484 7952.000000 9928.000000
8701.035156 8064.000000 10040.000000
8804.142578 8152.000000 10144.000000
8907.480469 8248.000000 10248.000000
9010.687500 8344.000000 10352.000000
9113.738281 8456.000000 10456.000000
9216.466797 8544.000000 10560.000000
9319.283203 8640.000000 10664.000000
9421.871094 8736.000000 10776.000000
9524.187500 8824.000000 10880.000000
9626.310547 8928.000000 10984.000000
9728.466797 9024.000000 11088.000000
9830.363281 9120.000000 11200.000000
9931.984375 9200.000000 11288.000000
10033.733999 9312.000000 11384.000000
10135.253530 9400.000000 11496.000000
10236.554688 9488.000000 11600.000000
10337.720703 9592.000000 11704.000000
10438.619141 9688.000000 11816.000000
10539.205078 9784.000000 11904.000000
10640.101562 9888.000000 12008.000000
10740.806641 9968.000000 12120.000000
10841.033203 10064.000000 12224.000000
10941.771387 10152.000000 12312.000000
11042.102490 10248.000000 12424.000000
11139.174048 10336.000000 12512.000000
11235.627930 10448.000000 12600.000000
11332.437915 10536.000000 12696.000000
11428.382935 10632.000000 12792.000000
11524.293970 10720.000000 12880.000000
11620.395557 10816.000000 12976.000000
11716.262720 10936.000000 13080.000000
11812.200757 11024.000000 13168.000000
11908.071924 11128.000000 13272.000000
12003.985400 11224.000000 13376.000000
12100.036621 11328.000000 13472.000000
12196.160156 11424.000000 13576.000000
12292.593262 11520.000000 13672.000000
12389.409668 11608.000000 13776.000000
12486.281250 11712.000000 13880.000000
12583.453125 11784.000000 13984.000000
12680.394067 11880.000000 14088.000000
12777.891748 11984.000000 14176.000000
12875.059961 12080.000000 14272.000000
12972.616699 12160.000000 14384.000000
13070.069604 12248.000000 14480.000000
13168.096753 12344.000000 14576.000000
13266.833154 12448.000000 14680.000000
13365.950854 12552.000000 14776.000000
13465.460571 12656.000000 14872.000000
13565.714111 12744.000000 14984.000000
13665.759448 12840.000000 15080.000000
13767.074414 12936.000000 15184.000000
13868.333740 13048.000000 15288.000000
13970.004980 13144.000000 15392.000000
14071.601123 13240.000000 15496.000000
14173.683154 13336.000000 15600.000000
14276.226636 13440.000000 15688.000000
14378.673901 13552.000000 15800.000000
14480.929248 13648.000000 15904.000000
14583.357422 13744.000000 16000.000000
14686.013672 13848.000000 16112.000000
