x whiskerbottom boxbottom median boxtop whiskertop 
1 27.504            27.704        27.769     27.838     28.038 
2 28.886            29.414         29.6025     29.76825     30.154 
4 32.426            33.341        33.7165     33.99025     34.607 
8 36.469            39.17025        40.306     41.029    42.585 
16 38.137            45.577        48.6075     50.6045     54.879 
32 40.342            58.427        65.717     70.812     81.076
